Invoice_No,Customer_ID,Invoice_Amount,Outstanding_Amount,Due_Days
INV0000111,CUST8846,74368,34362,89
INV0000112,CUST1098,184304,77470,55
INV0000113,CUST2456,131622,53685,8
INV0000114,CUST4884,137671,39290,145
INV0000115,CUST4943,48142,23050,82
INV0000116,CUST8410,23550,21805,129
INV0000117,CUST8871,297074,137333,50
INV0000118,CUST6094,149688,114648,7
INV0000119,CUST9174,279328,111868,83
INV0000120,CUST8442,173571,162680,159
INV0000121,CUST2973,281926,226582,35
INV0000122,CUST2187,171753,25121,144
INV0000123,CUST1653,181477,151381,61
INV0000124,CUST5348,116768,7884,63
INV0000125,CUST5784,16079,10337,150
INV0000126,CUST1547,104696,49067,4
INV0000127,CUST3359,276459,220976,17
INV0000128,CUST5699,257072,200266,128
INV0000129,CUST2012,175784,99512,156
INV0000130,CUST1875,290648,148007,0
INV0000131,CUST4969,51245,8478,129
INV0000132,CUST1461,296832,131341,134
INV0000133,CUST1757,296249,240688,156
INV0000134,CUST2574,251049,226608,171
INV0000135,CUST6430,8854,6786,153
INV0000136,CUST3101,268957,188815,41
INV0000137,CUST9675,51355,43948,103
INV0000138,CUST9039,224858,21626,26
INV0000139,CUST5885,233891,86601,82
INV0000140,CUST8560,16268,11971,142
INV0000141,CUST4482,160506,125645,72
INV0000142,CUST1711,144931,26963,142
INV0000143,CUST9396,177078,17218,115
INV0000144,CUST8614,283051,28606,8
INV0000145,CUST3505,89020,20039,115
INV0000146,CUST9758,285776,165026,96
INV0000147,CUST4069,226561,124873,168
INV0000148,CUST2285,52730,27193,149
INV0000149,CUST7437,246662,206276,144
INV0000150,CUST2940,226631,123766,109
INV0000151,CUST4482,87940,31819,41
INV0000152,CUST7006,13829,12076,122
INV0000153,CUST1091,273111,43096,19
INV0000154,CUST6916,160299,92359,83
INV0000155,CUST7279,295298,81156,52
INV0000156,CUST5041,40109,24286,33
INV0000157,CUST5547,294774,195191,174
INV0000158,CUST5377,63654,2274,176
INV0000159,CUST1548,186678,8193,158
INV0000160,CUST7376,17951,12893,82
INV0000161,CUST1187,190437,159467,72
INV0000162,CUST4140,275262,165668,15
INV0000163,CUST5339,243360,175818,41
INV0000164,CUST4991,90563,77746,96
INV0000165,CUST8706,35100,2753,164
INV0000166,CUST6972,220266,73842,66
INV0000167,CUST8616,40124,35191,49
INV0000168,CUST8840,193627,23482,46
INV0000169,CUST2021,280747,3011,154
INV0000170,CUST9895,263952,98389,13
INV0000171,CUST1395,52372,27188,84
INV0000172,CUST9543,152334,106906,109
INV0000173,CUST7343,172240,38180,170
INV0000174,CUST9377,171876,123860,103
INV0000175,CUST5804,165097,130533,137
INV0000176,CUST2023,276070,237532,20
INV0000177,CUST3119,288752,143629,119
INV0000178,CUST6320,179146,129404,31
INV0000179,CUST2518,250717,141413,19
INV0000180,CUST8623,43519,15258,27
INV0000181,CUST4577,81153,79389,22
INV0000182,CUST8748,33031,16948,143
INV0000183,CUST1207,70218,34276,49
INV0000184,CUST9301,285777,263742,43
INV0000185,CUST4212,221463,135520,3
INV0000186,CUST6178,250092,71318,162
INV0000187,CUST8312,65251,7031,7
INV0000188,CUST8487,44014,24408,145
INV0000189,CUST4785,228986,76335,175
INV0000190,CUST4280,89932,16712,88
INV0000191,CUST7612,5821,2979,4
INV0000192,CUST7609,231955,92614,100
INV0000193,CUST1680,291850,74933,96
INV0000194,CUST6026,72484,15003,91
INV0000195,CUST9241,43789,18496,154
INV0000196,CUST6838,215410,17205,64
INV0000197,CUST3609,66089,440,57
INV0000198,CUST5744,56312,5684,141
INV0000199,CUST1309,233806,122038,62
INV0000200,CUST4909,115885,20874,168
INV0000201,CUST2801,227274,111965,19
INV0000202,CUST9972,133377,94593,178
INV0000203,CUST5114,189780,93385,30
INV0000204,CUST4949,267575,110078,47
INV0000205,CUST4138,40089,24590,76
INV0000206,CUST3339,86351,13223,58
INV0000207,CUST1637,52287,35377,159
INV0000208,CUST6429,198223,28548,35
INV0000209,CUST6632,201031,128742,134
INV0000210,CUST4065,69032,60303,160
INV0000211,CUST2479,138071,61969,36
INV0000212,CUST2006,154805,108835,37
INV0000213,CUST9925,205539,116103,101
INV0000214,CUST7001,182382,20627,89
INV0000215,CUST4361,269845,66063,45
INV0000216,CUST9997,91298,24149,174
INV0000217,CUST3192,41311,23435,111
INV0000218,CUST8667,152201,129680,39
INV0000219,CUST6639,153651,121055,2
INV0000220,CUST8086,107181,52211,180
INV0000221,CUST6695,82965,4519,99
INV0000222,CUST9627,69248,4356,103
INV0000223,CUST6128,91482,74275,169
INV0000224,CUST7921,3559,1592,154
INV0000225,CUST3020,88076,40314,141
INV0000226,CUST6507,65317,58935,53
INV0000227,CUST8454,79464,60092,2
INV0000228,CUST6880,233316,130805,80
INV0000229,CUST5214,150901,65559,130
INV0000230,CUST9677,103365,25297,88
INV0000231,CUST7427,254525,137967,166
INV0000232,CUST1447,263625,203241,89
INV0000233,CUST5034,243711,92117,83
INV0000234,CUST9742,166532,28729,69
INV0000235,CUST8461,35816,12425,15
INV0000236,CUST8692,201571,12808,5
INV0000237,CUST1484,62293,8903,147
INV0000238,CUST2725,293795,264394,33
INV0000239,CUST4015,217276,137016,145
INV0000240,CUST1945,123495,13299,15
INV0000241,CUST3930,295213,163176,174
INV0000242,CUST2617,44906,2053,164
INV0000243,CUST7649,157050,94297,60
INV0000244,CUST6215,17040,13320,5
INV0000245,CUST6484,202479,52702,103
INV0000246,CUST6863,163332,25716,120
INV0000247,CUST8197,104322,12411,8
INV0000248,CUST2960,16561,16387,145
INV0000249,CUST1174,98098,2784,66
INV0000250,CUST4594,100760,17567,92
INV0000251,CUST8227,182145,130607,130
INV0000252,CUST4632,158562,98904,130
INV0000253,CUST7318,123722,19060,90
INV0000254,CUST1724,51429,38863,9
INV0000255,CUST5268,285296,143820,20
INV0000256,CUST3467,251059,248440,106
INV0000257,CUST8120,257467,20950,69
INV0000258,CUST3119,141160,112553,169
INV0000259,CUST6956,253083,160589,117
INV0000260,CUST2524,83472,45982,157
INV0000261,CUST9835,72368,7209,149
INV0000262,CUST2969,171711,157206,42
INV0000263,CUST9767,86190,74155,20
INV0000264,CUST8287,33331,7381,65
INV0000265,CUST1681,112136,81919,16
INV0000266,CUST1908,122826,45212,50
INV0000267,CUST7209,86713,15860,169
INV0000268,CUST8277,233840,193796,59
INV0000269,CUST8544,290873,9776,70
INV0000270,CUST7538,26768,6710,144
INV0000271,CUST4067,202896,139802,133
INV0000272,CUST3254,31673,5351,136
INV0000273,CUST6769,208229,114678,41
INV0000274,CUST8438,111450,18844,146
INV0000275,CUST3413,275796,260198,151
INV0000276,CUST7185,86589,39738,103
INV0000277,CUST2894,104436,42973,142
INV0000278,CUST9957,46590,13117,149
INV0000279,CUST4334,59188,58170,127
INV0000280,CUST5311,161649,101359,70
INV0000281,CUST7491,280987,188668,123
INV0000282,CUST1227,228279,99845,63
INV0000283,CUST3654,59602,46543,26
INV0000284,CUST7639,83989,30203,90
INV0000285,CUST3528,26577,9147,94
INV0000286,CUST5480,274672,221386,77
INV0000287,CUST9592,137613,108152,11
INV0000288,CUST6755,163399,52867,162
INV0000289,CUST9308,277746,252526,124
INV0000290,CUST7624,54062,6758,33
INV0000291,CUST8524,136679,24142,138
INV0000292,CUST2131,138277,16108,8
INV0000293,CUST2257,256625,76950,31
INV0000294,CUST7300,193138,28230,145
INV0000295,CUST6719,3783,2524,100
INV0000296,CUST4351,190723,128874,79
INV0000297,CUST6733,191168,179269,116
INV0000298,CUST1159,192897,138435,170
INV0000299,CUST9858,39274,22810,178
INV0000300,CUST5665,217823,32451,115
INV0000301,CUST6108,95038,22004,174
INV0000302,CUST2187,165935,148219,70
INV0000303,CUST2481,122192,53594,15
INV0000304,CUST7899,243745,94061,136
INV0000305,CUST6668,247114,66523,166
INV0000306,CUST8699,75803,4843,77
INV0000307,CUST7775,154231,43226,166
INV0000308,CUST5220,133957,129355,80
INV0000309,CUST4560,227097,160305,26
INV0000310,CUST1611,190989,165747,82
INV0000311,CUST7405,284920,262020,52
INV0000312,CUST1599,108005,60909,165
INV0000313,CUST9117,59291,38076,25
INV0000314,CUST8718,135841,129769,18
INV0000315,CUST1362,75853,25312,136
INV0000316,CUST3734,243887,29888,147
INV0000317,CUST7652,59863,51619,21
INV0000318,CUST8351,256056,240269,64
INV0000319,CUST1066,156353,140837,54
INV0000320,CUST5907,99499,81001,50
INV0000321,CUST6022,241808,186811,82
INV0000322,CUST4172,133164,62929,60
INV0000323,CUST7187,216260,148337,27
INV0000324,CUST1314,165868,133361,68
INV0000325,CUST8639,229876,49953,127
INV0000326,CUST5986,20424,11669,116
INV0000327,CUST8192,223249,118572,136
INV0000328,CUST5361,154853,64327,167
INV0000329,CUST8930,197023,162629,45
INV0000330,CUST6262,246607,235097,141
INV0000331,CUST5825,112105,58834,139
INV0000332,CUST1612,278653,151016,22
INV0000333,CUST5817,86986,20172,40
INV0000334,CUST4610,269501,14046,74
INV0000335,CUST7095,209688,166448,86
INV0000336,CUST4967,214339,88703,177
INV0000337,CUST1422,66324,36639,85
INV0000338,CUST3210,39203,4480,48
INV0000339,CUST4326,154919,130709,94
INV0000340,CUST8856,90018,27222,149
INV0000341,CUST9874,68794,2227,125
INV0000342,CUST1392,294765,100891,49
INV0000343,CUST9086,181434,71908,33
INV0000344,CUST3029,40846,9803,9
INV0000345,CUST9813,21340,4374,164
INV0000346,CUST9712,123597,78850,81
INV0000347,CUST4358,201146,143542,77
INV0000348,CUST7347,127354,2065,168
INV0000349,CUST8637,94323,89392,87
INV0000350,CUST4634,279629,82567,50
INV0000351,CUST6990,214341,31056,131
INV0000352,CUST3474,184616,166431,91
INV0000353,CUST1003,192571,25539,84
INV0000354,CUST6948,15499,11982,23
INV0000355,CUST8316,42365,26307,95
INV0000356,CUST8793,17422,16193,180
INV0000357,CUST2197,175319,27309,97
INV0000358,CUST2883,292797,133430,51
INV0000359,CUST8438,271287,5194,142
INV0000360,CUST2490,4169,3736,59
INV0000361,CUST3805,112530,74192,83
INV0000362,CUST8789,188771,34008,124
INV0000363,CUST9261,11861,9317,50
INV0000364,CUST1040,287522,219872,22
INV0000365,CUST8339,126012,94888,148
INV0000366,CUST8805,233575,212438,105
INV0000367,CUST4506,162630,28119,172
INV0000368,CUST5629,129840,16563,118
INV0000369,CUST7715,189827,47866,136
INV0000370,CUST9392,167414,41043,56
INV0000371,CUST3918,120063,27808,178
INV0000372,CUST7960,183578,100373,154
INV0000373,CUST8021,229747,103722,12
INV0000374,CUST1628,8514,1836,154
INV0000375,CUST9346,245486,29141,4
INV0000376,CUST8253,105070,39442,139
INV0000377,CUST3116,162871,29386,81
INV0000378,CUST8070,25595,22544,13
INV0000379,CUST3078,147375,138449,122
INV0000380,CUST9538,35541,20940,151
INV0000381,CUST5182,289325,237770,135
INV0000382,CUST4566,126857,98386,148
INV0000383,CUST4426,88721,14496,5
INV0000384,CUST2804,54637,42864,101
INV0000385,CUST5750,81435,55914,142
INV0000386,CUST1834,152526,21355,37
INV0000387,CUST5748,162913,52309,9
INV0000388,CUST3415,31741,25103,0
INV0000389,CUST3084,81266,48835,105
INV0000390,CUST4239,286686,41290,139
INV0000391,CUST4306,83937,73414,25
INV0000392,CUST8301,290132,92088,128
INV0000393,CUST7280,249825,146622,62
INV0000394,CUST3392,251847,180582,87
INV0000395,CUST8028,203353,98973,74
INV0000396,CUST4967,193544,17068,26
INV0000397,CUST8782,271297,191617,26
INV0000398,CUST4116,201137,1579,20
INV0000399,CUST7752,148671,103115,130
INV0000400,CUST8209,275750,267080,39
INV0000401,CUST4328,67219,26201,177
INV0000402,CUST5525,28629,13700,8
INV0000403,CUST8233,181069,111143,115
INV0000404,CUST7188,290601,219303,180
INV0000405,CUST8977,13723,3360,60
INV0000406,CUST6671,115393,31294,91
INV0000407,CUST8687,208463,169123,156
INV0000408,CUST6334,208141,89271,78
INV0000409,CUST7634,204504,2465,114
INV0000410,CUST5151,127292,80361,116
INV0000411,CUST2041,261276,233312,84
INV0000412,CUST7963,146347,127413,163
INV0000413,CUST3074,244135,36780,23
INV0000414,CUST2048,170093,137292,179
INV0000415,CUST2572,79814,20588,160
INV0000416,CUST9939,134264,95869,162
INV0000417,CUST5235,218352,8914,33
INV0000418,CUST4636,1884,649,71
INV0000419,CUST6070,184254,91526,11
INV0000420,CUST3534,291559,183493,141
INV0000421,CUST8209,120745,30411,51
INV0000422,CUST5843,102178,76884,111
INV0000423,CUST5301,169090,133468,70
INV0000424,CUST8089,178008,51488,64
INV0000425,CUST8395,224532,32359,28
INV0000426,CUST7078,166510,79243,157
INV0000427,CUST6638,179263,53770,76
INV0000428,CUST8303,234689,122358,44
INV0000429,CUST5495,57158,21911,49
INV0000430,CUST8779,90102,64027,114
INV0000431,CUST3743,177998,145000,103
INV0000432,CUST7293,15616,9376,67
INV0000433,CUST5776,177605,169414,76
INV0000434,CUST6312,288676,44475,58
INV0000435,CUST2789,132020,43984,68
INV0000436,CUST2883,165323,16154,70
INV0000437,CUST1975,62150,19240,134
INV0000438,CUST5078,147347,65163,66
INV0000439,CUST1298,121008,27661,29
INV0000440,CUST8498,175151,123173,89
INV0000441,CUST6861,220294,144802,176
INV0000442,CUST1519,236880,99195,97
INV0000443,CUST8674,176899,142691,20
INV0000444,CUST8316,23454,7154,137
INV0000445,CUST5708,299644,211925,56
INV0000446,CUST2856,98575,79254,104
INV0000447,CUST5480,36237,33413,38
INV0000448,CUST7250,267318,153655,133
INV0000449,CUST4312,171997,147957,35
INV0000450,CUST6512,246415,7837,151
INV0000451,CUST7626,213322,153107,154
INV0000452,CUST8060,191547,42185,64
INV0000453,CUST2669,84530,67602,22
INV0000454,CUST5630,19826,15456,55
INV0000455,CUST9982,118578,65580,104
INV0000456,CUST1098,103434,80503,143
INV0000457,CUST4136,94358,14614,63
INV0000458,CUST7384,139576,51804,61
INV0000459,CUST8789,22351,469,96
INV0000460,CUST4154,132214,55228,73
INV0000461,CUST5320,276612,213287,66
INV0000462,CUST3628,192331,85304,27
INV0000463,CUST4747,90903,54557,29
INV0000464,CUST4367,158599,73945,87
INV0000465,CUST7413,150688,71799,17
INV0000466,CUST3050,173027,41410,41
INV0000467,CUST8198,111620,105905,108
INV0000468,CUST3672,37456,7052,175
INV0000469,CUST4108,185215,121960,47
INV0000470,CUST3919,17736,14292,169
INV0000471,CUST4276,191940,78865,132
INV0000472,CUST7358,285848,99352,128
INV0000473,CUST6813,35863,27327,156
INV0000474,CUST3356,269018,186345,25
INV0000475,CUST6613,154339,126564,36
INV0000476,CUST1629,240652,233216,5
INV0000477,CUST4586,213645,140869,135
INV0000478,CUST3072,205867,65073,17
INV0000479,CUST1557,246801,47645,172
INV0000480,CUST6205,111805,8191,35
INV0000481,CUST7166,186311,151634,111
INV0000482,CUST4893,246590,64283,118
INV0000483,CUST2562,204407,89693,167
INV0000484,CUST1339,250927,15007,31
INV0000485,CUST3351,4103,1306,116
INV0000486,CUST9447,21395,1863,118
INV0000487,CUST8274,9153,97,129
INV0000488,CUST7985,94167,9049,107
INV0000489,CUST3850,273916,82510,61
INV0000490,CUST4621,41020,33447,98
INV0000491,CUST1829,273356,57000,132
INV0000492,CUST7809,137112,110858,51
INV0000493,CUST3045,169948,19017,78
INV0000494,CUST4226,59146,43609,155
INV0000495,CUST5539,85535,54599,100
INV0000496,CUST6854,23331,23231,72
INV0000497,CUST5056,11320,7402,168
INV0000498,CUST1786,97443,35643,166
INV0000499,CUST4311,117333,38917,113
INV0000500,CUST7779,17817,11662,21
INV0000501,CUST6603,288022,102341,166
INV0000502,CUST3595,9628,7879,133
INV0000503,CUST2006,109303,40787,143
INV0000504,CUST4408,25591,21973,23
INV0000505,CUST4352,87867,72623,111
INV0000506,CUST6411,231903,13990,130
INV0000507,CUST5821,139052,86773,36
INV0000508,CUST2645,3278,1669,40
INV0000509,CUST4434,67122,21442,142
INV0000510,CUST4478,104032,23715,113
INV0000511,CUST9747,74561,62815,69
INV0000512,CUST7303,170991,163421,40
INV0000513,CUST6554,35345,13131,150
INV0000514,CUST6879,133494,120364,26
INV0000515,CUST6013,125613,103259,38
INV0000516,CUST3838,82034,36374,68
INV0000517,CUST7248,239352,175255,22
INV0000518,CUST7604,244515,13341,85
INV0000519,CUST1315,52393,47909,156
INV0000520,CUST8559,241717,5724,24
INV0000521,CUST4588,67994,64398,63
INV0000522,CUST5383,57084,100,32
INV0000523,CUST6507,98126,3982,56
INV0000524,CUST6484,253325,247013,54
INV0000525,CUST1168,113945,85638,66
INV0000526,CUST7736,78044,59107,13
INV0000527,CUST2258,1639,384,163
INV0000528,CUST9724,273747,201244,15
INV0000529,CUST7042,166573,61984,34
INV0000530,CUST2877,145040,116828,20
INV0000531,CUST2301,124891,76375,152
INV0000532,CUST4459,64078,27607,56
INV0000533,CUST3023,152562,32032,120
INV0000534,CUST5757,64109,59107,38
INV0000535,CUST2281,7487,1290,59
INV0000536,CUST5144,214800,190795,168
INV0000537,CUST8249,45152,13095,143
INV0000538,CUST7344,268173,17211,146
INV0000539,CUST6937,180643,173084,70
INV0000540,CUST3147,285622,263714,142
INV0000541,CUST1185,257188,14356,154
INV0000542,CUST5619,279999,73201,163
INV0000543,CUST4387,150520,80019,121
INV0000544,CUST4214,287256,89220,83
INV0000545,CUST7883,30446,852,114
INV0000546,CUST9932,213216,200896,155
INV0000547,CUST9634,283787,15522,18
INV0000548,CUST7990,168562,44284,152
INV0000549,CUST5199,172438,53485,64
INV0000550,CUST9302,29583,26252,103
INV0000551,CUST5830,94634,27800,99
INV0000552,CUST1358,286545,238440,116
INV0000553,CUST1173,198605,120245,149
INV0000554,CUST6733,191631,149326,51
INV0000555,CUST7949,44796,41941,133
INV0000556,CUST6552,192726,140559,175
INV0000557,CUST7451,119038,54202,40
INV0000558,CUST7682,34936,20939,47
INV0000559,CUST8507,65827,21724,175
INV0000560,CUST3842,267307,90255,164
INV0000561,CUST3415,20020,5319,69
INV0000562,CUST9448,183958,133767,153
INV0000563,CUST6935,13512,9879,69
INV0000564,CUST9243,40057,26741,80
INV0000565,CUST5693,246915,55883,79
INV0000566,CUST9445,291576,236456,71
INV0000567,CUST2832,252912,119987,138
INV0000568,CUST9736,267600,247697,73
INV0000569,CUST4137,7306,380,154
INV0000570,CUST9388,147140,24593,138
INV0000571,CUST3018,35436,14283,31
INV0000572,CUST5359,83876,10732,21
INV0000573,CUST3677,23156,6869,31
INV0000574,CUST6378,136714,23970,26
INV0000575,CUST5286,283667,75132,155
INV0000576,CUST1579,99598,68352,13
INV0000577,CUST8357,170455,29171,128
INV0000578,CUST8842,124407,75239,12
INV0000579,CUST3691,214742,145249,152
INV0000580,CUST4976,98400,18762,129
INV0000581,CUST7130,139713,35910,113
INV0000582,CUST1466,96823,96516,147
INV0000583,CUST4387,133762,38028,80
INV0000584,CUST8610,68066,5213,167
INV0000585,CUST9414,81168,22632,85
INV0000586,CUST7352,126075,87264,108
INV0000587,CUST8885,265150,249509,158
INV0000588,CUST5635,265952,127064,35
INV0000589,CUST8476,232491,183414,79
INV0000590,CUST7303,142251,60875,148
INV0000591,CUST7891,105863,65645,123
INV0000592,CUST5602,194376,51296,101
INV0000593,CUST6952,106045,46863,176
INV0000594,CUST7849,106033,93728,22
INV0000595,CUST1537,250822,250612,126
INV0000596,CUST2903,107104,96958,84
INV0000597,CUST2837,174526,72588,102
INV0000598,CUST1798,8883,3335,31
INV0000599,CUST1573,107403,54578,59
INV0000600,CUST9574,181094,45587,151
INV0000601,CUST8118,77752,21186,63
INV0000602,CUST3544,287439,219828,109
INV0000603,CUST1155,29470,28632,169
INV0000604,CUST9485,138853,109003,45
INV0000605,CUST9608,202708,23871,98
INV0000606,CUST8499,154100,17057,130
INV0000607,CUST2167,263521,200320,172
INV0000608,CUST5060,164817,129373,162
INV0000609,CUST9790,47118,14679,137
INV0000610,CUST9457,26968,6881,156
INV0000611,CUST8470,217350,196848,120
INV0000612,CUST5354,173306,171172,126
INV0000613,CUST2101,227016,142632,167
INV0000614,CUST1109,12426,7839,18
INV0000615,CUST6602,272245,264647,13
INV0000616,CUST5260,92159,43396,84
INV0000617,CUST9760,132043,79289,18
INV0000618,CUST6610,33685,31850,116
INV0000619,CUST7838,172418,45041,3
INV0000620,CUST3157,250707,203649,167
INV0000621,CUST7767,293617,41501,29
INV0000622,CUST4960,125176,11004,160
INV0000623,CUST4508,44291,14890,128
INV0000624,CUST7381,46423,14496,125
INV0000625,CUST5307,137842,119068,40
INV0000626,CUST8692,100729,61649,49
INV0000627,CUST4451,283268,191112,34
INV0000628,CUST1241,152969,102445,57
INV0000629,CUST4465,45076,44358,101
INV0000630,CUST5642,243830,169110,61
INV0000631,CUST6539,287587,272687,57
INV0000632,CUST9460,124312,91382,13
INV0000633,CUST5835,248334,203245,107
INV0000634,CUST8356,63032,25540,100
INV0000635,CUST8078,57283,54944,133
INV0000636,CUST5969,4985,3690,26
INV0000637,CUST8598,156198,36353,120
INV0000638,CUST4710,155251,29685,139
INV0000639,CUST3732,72770,3290,111
INV0000640,CUST3960,275294,145151,56
INV0000641,CUST8300,264713,180558,81
INV0000642,CUST3147,19931,19228,50
INV0000643,CUST1429,88755,1298,132
INV0000644,CUST5364,116973,107371,23
INV0000645,CUST6053,8229,5455,166
INV0000646,CUST3171,98108,71331,146
INV0000647,CUST4095,33959,26353,31
INV0000648,CUST9063,41279,36855,160
INV0000649,CUST3028,257073,255734,7
INV0000650,CUST1838,113840,24194,30
INV0000651,CUST2067,97689,42672,175
INV0000652,CUST3165,129775,129075,59
INV0000653,CUST3429,169461,143877,75
INV0000654,CUST6916,169034,128530,138
INV0000655,CUST5660,5511,517,3
INV0000656,CUST8576,123677,118856,20
INV0000657,CUST2782,154396,123056,168
INV0000658,CUST7566,224075,78690,180
INV0000659,CUST4716,45919,18943,111
INV0000660,CUST4655,114935,79962,65
INV0000661,CUST5654,122673,82304,13
INV0000662,CUST7295,253536,43539,98
INV0000663,CUST2706,252351,171615,36
INV0000664,CUST4323,89162,11317,109
INV0000665,CUST5395,57335,23731,102
INV0000666,CUST9064,73217,58967,48
INV0000667,CUST4855,73075,67965,168
INV0000668,CUST5184,244523,195635,89
INV0000669,CUST1623,297272,87079,82
INV0000670,CUST2999,228700,43916,148
INV0000671,CUST5238,297352,237134,175
INV0000672,CUST7833,277931,77751,29
INV0000673,CUST2031,285113,214938,108
INV0000674,CUST8194,57875,14197,179
INV0000675,CUST2041,59053,19566,120
INV0000676,CUST1272,288303,224249,89
INV0000677,CUST4147,25071,1332,143
INV0000678,CUST4635,147570,975,90
INV0000679,CUST3209,281755,181404,99
INV0000680,CUST3602,188056,28133,121
INV0000681,CUST5296,16974,8199,36
INV0000682,CUST2630,91337,41497,81
INV0000683,CUST9724,44290,4062,79
INV0000684,CUST6436,235499,229931,111
INV0000685,CUST6706,294112,48841,74
INV0000686,CUST8660,226451,215353,64
INV0000687,CUST6351,66037,23335,155
INV0000688,CUST5353,120840,68945,157
INV0000689,CUST3528,222371,78832,156
INV0000690,CUST6181,90434,84162,139
INV0000691,CUST4695,235517,157485,31
INV0000692,CUST6868,107439,8846,25
INV0000693,CUST3703,16504,13628,104
INV0000694,CUST9810,249950,86114,100
INV0000695,CUST3158,168554,126128,162
INV0000696,CUST7841,262753,135234,25
