Employee_ID,Department,Expense_Type,Amount,Status
E2811,Sales,Internet,29747,Pending
E5582,IT,Training,17293,Approved
E7332,Operations,Travel,16214,Approved
E2389,Finance,Training,5518,Pending
E2269,Sales,Travel,6515,Rejected
E4819,Finance,Internet,36000,Pending
E6924,IT,Training,12996,Pending
E2439,Sales,Training,31936,Approved
E9812,Finance,Travel,46967,Pending
E3235,IT,Travel,28574,Rejected
E9815,IT,Travel,3559,Pending
E9089,IT,Internet,10699,Pending
E3380,Operations,Internet,32265,Rejected
E5501,Operations,Internet,41501,Approved
E2966,Operations,Travel,10871,Pending
E1310,IT,Training,10364,Pending
E5520,IT,Training,40694,Rejected
E6095,Sales,Meals,38004,Approved
E6315,IT,Travel,15735,Rejected
E7182,Operations,Meals,49911,Approved
E5166,Operations,Travel,10197,Approved
E4218,HR,Internet,10948,Approved
E6198,IT,Internet,567,Approved
E7065,IT,Meals,18122,Pending
E6729,Sales,Internet,24478,Rejected
E1556,Finance,Meals,40386,Approved
E2353,Finance,Training,3617,Approved
E6006,Sales,Internet,21093,Pending
E4362,Finance,Travel,19601,Pending
E3473,Sales,Internet,22729,Pending
E2871,Finance,Internet,27382,Approved
E5764,IT,Training,25621,Approved
E9087,Finance,Travel,25198,Approved
E8405,HR,Internet,26307,Approved
E9107,Finance,Internet,23179,Rejected
E2889,HR,Internet,16216,Approved
E1867,Operations,Travel,37635,Rejected
E7939,Sales,Training,32984,Pending
E4293,IT,Meals,32542,Rejected
E4026,Finance,Internet,18797,Pending
E8070,Finance,Training,41030,Rejected
E3606,Finance,Internet,34300,Pending
E4108,IT,Training,44160,Approved
E3674,HR,Training,19273,Approved
E4206,Operations,Travel,21449,Pending
E3384,HR,Travel,33562,Rejected
E8260,Operations,Travel,15854,Pending
E5562,IT,Meals,17599,Approved
E6531,HR,Internet,43129,Rejected
E8063,IT,Internet,49043,Approved
E3001,HR,Meals,7662,Pending
E2336,Sales,Meals,29931,Pending
E3402,Finance,Training,7384,Pending
E5049,Sales,Training,35131,Pending
E4776,HR,Training,32520,Approved
E3110,Sales,Meals,19429,Pending
E3474,Finance,Training,36238,Approved
E6864,Operations,Training,11739,Approved
E8101,IT,Training,37572,Pending
E7300,Sales,Travel,14420,Approved
E5059,HR,Travel,37565,Approved
E2378,HR,Travel,39379,Rejected
E4958,HR,Meals,47010,Pending
E6242,Finance,Internet,27273,Pending
E4099,Operations,Meals,28074,Rejected
E9122,Finance,Meals,34511,Rejected
E2053,Operations,Travel,13928,Approved
E3845,Sales,Training,43779,Rejected
E3583,Operations,Meals,8260,Approved
E8775,Finance,Travel,16705,Approved
E7091,Finance,Training,43614,Rejected
E9773,Finance,Meals,11742,Rejected
E6613,HR,Meals,41059,Pending
E4493,Finance,Training,42535,Pending
E3004,IT,Meals,45420,Rejected
E2053,Operations,Meals,49178,Pending
E5159,Operations,Meals,39193,Rejected
E3390,Operations,Meals,5334,Pending
E2669,IT,Meals,4608,Approved
E9241,HR,Training,45838,Approved
E7574,IT,Meals,46713,Rejected
E9725,IT,Training,9211,Rejected
E5352,IT,Training,14927,Pending
E2377,Sales,Internet,2318,Rejected
E7703,HR,Internet,42472,Rejected
E9724,Sales,Internet,23972,Approved
E6691,IT,Travel,44167,Rejected
E5221,HR,Travel,27198,Approved
E9845,Sales,Meals,24467,Approved
E1234,IT,Meals,14389,Pending
E3000,Finance,Travel,19951,Rejected
E2386,HR,Meals,18738,Pending
E6800,IT,Travel,41573,Rejected
E7217,HR,Internet,40926,Pending
E5224,IT,Internet,41631,Approved
E7977,Operations,Internet,45820,Rejected
E9923,IT,Travel,3889,Approved
E8128,Finance,Meals,34586,Pending
E3597,Operations,Internet,24099,Rejected
E5050,IT,Training,36823,Approved
E5548,Sales,Meals,46976,Pending
E8628,Operations,Travel,40958,Rejected
E2918,Sales,Travel,34054,Rejected
E8963,HR,Internet,9133,Rejected
E8203,Operations,Meals,17907,Rejected
E2718,Operations,Training,43411,Approved
E8266,Sales,Meals,1287,Approved
E3562,Operations,Training,21364,Approved
E2887,Operations,Internet,12638,Approved
E6212,Sales,Travel,20444,Approved
E2629,IT,Meals,7275,Rejected
E3957,IT,Meals,39822,Pending
E8034,Finance,Meals,14302,Rejected
E4201,Sales,Training,34168,Rejected
E6939,Sales,Travel,15704,Rejected
E8306,IT,Internet,17757,Approved
E4494,Sales,Internet,22977,Approved
E5897,IT,Internet,48298,Rejected
E2531,Operations,Meals,20446,Pending
E8954,Finance,Travel,20698,Rejected
E7338,Operations,Meals,4965,Pending
E2812,Operations,Meals,26286,Approved
E9950,Finance,Training,39297,Pending
E5371,Sales,Meals,27931,Approved
E1290,Sales,Meals,10941,Pending
E8098,HR,Travel,25324,Pending
E7050,IT,Training,47917,Pending
E1009,HR,Internet,4345,Rejected
E8441,HR,Training,30265,Rejected
E9909,Finance,Training,31341,Pending
E6627,HR,Meals,37840,Pending
E1432,Sales,Travel,20733,Rejected
E4824,Finance,Training,8453,Pending
E9570,HR,Training,29902,Pending
E2074,IT,Training,21760,Rejected
E1883,Finance,Meals,16291,Rejected
E2241,HR,Meals,7765,Pending
E3734,Finance,Internet,47118,Pending
E7582,Operations,Training,33036,Pending
E2899,Sales,Travel,21624,Rejected
E7133,Finance,Internet,12944,Pending
E8021,HR,Internet,28780,Approved
E3761,IT,Training,685,Rejected
E8867,Finance,Travel,4370,Rejected
E8475,Sales,Travel,45715,Pending
E8933,Operations,Travel,1022,Rejected
E9281,HR,Travel,18098,Pending
E8421,Sales,Travel,28812,Rejected
E8651,Sales,Internet,30911,Approved
E5937,Finance,Internet,26542,Rejected
E4587,Finance,Training,44458,Rejected
E6810,HR,Travel,31946,Rejected
E9982,IT,Travel,25869,Rejected
E2561,Finance,Travel,46414,Pending
E4775,Sales,Training,26264,Approved
E3065,Sales,Training,10133,Rejected
E7054,Sales,Internet,30563,Approved
E6164,IT,Meals,31585,Pending
E7488,Operations,Training,9346,Rejected
E5610,Operations,Meals,3589,Pending
E2985,IT,Training,17452,Approved
E5276,Finance,Meals,9102,Rejected
E4176,Finance,Internet,19051,Pending
E4732,IT,Travel,43529,Rejected
E3580,HR,Training,22730,Pending
E8154,HR,Travel,18055,Pending
E9772,HR,Meals,27626,Approved
E3520,HR,Travel,35959,Approved
E5984,Operations,Meals,30312,Rejected
E3920,IT,Training,21433,Approved
E3207,HR,Internet,4931,Pending
E4627,Operations,Internet,25050,Pending
E7580,HR,Travel,42221,Approved
E4015,IT,Meals,32134,Pending
E3431,Finance,Meals,43960,Approved
E9954,Operations,Meals,34794,Pending
E3801,HR,Travel,35276,Pending
E4485,Operations,Meals,2133,Approved
E8657,Operations,Meals,10623,Rejected
E3862,Finance,Training,45061,Approved
E8080,Operations,Training,25250,Approved
E9986,Sales,Internet,9766,Pending
E8015,IT,Internet,20883,Rejected
E8067,Operations,Training,20674,Rejected
E9441,IT,Training,24062,Approved
E7058,Finance,Training,6029,Approved
E1915,HR,Training,3758,Approved
E6503,Finance,Travel,24562,Approved
E4535,Sales,Internet,22075,Pending
E8553,Sales,Internet,29920,Rejected
E3057,Finance,Training,25795,Pending
E7848,Operations,Travel,39074,Pending
E4847,Sales,Meals,21928,Pending
E6639,Operations,Travel,5798,Pending
E7409,IT,Internet,2527,Approved
E2265,Operations,Travel,22016,Approved
E8626,Operations,Meals,20298,Approved
E1977,HR,Travel,44318,Pending
E8378,HR,Internet,19716,Approved
E4470,IT,Travel,14049,Rejected
E6988,IT,Meals,2429,Pending
E3147,Sales,Internet,24558,Rejected
E7339,Sales,Travel,16661,Rejected
E6037,Finance,Internet,30212,Approved
E2713,IT,Meals,10386,Rejected
E9582,Operations,Internet,2074,Approved
E4576,IT,Training,41257,Rejected
E7229,Finance,Meals,27745,Pending
E5205,IT,Travel,28236,Pending
E7437,Sales,Travel,11575,Rejected
E5021,HR,Travel,2807,Pending
E2185,HR,Meals,33165,Pending
E4493,Finance,Meals,32339,Approved
E6146,Sales,Internet,5814,Approved
E9562,IT,Meals,42349,Rejected
E2894,Operations,Training,45626,Pending
E8767,Sales,Meals,26950,Rejected
E2999,Sales,Training,46913,Rejected
E3473,Sales,Training,32115,Approved
E9459,Finance,Travel,33340,Approved
E5348,Finance,Travel,27298,Approved
E3884,IT,Internet,25844,Approved
E8656,Operations,Travel,37473,Pending
E6279,IT,Meals,21634,Rejected
E7423,Finance,Travel,38801,Rejected
E6893,IT,Travel,23158,Approved
E3522,IT,Internet,19685,Pending
E5838,Sales,Meals,23574,Approved
E7178,HR,Internet,21061,Rejected
E2589,Sales,Meals,7788,Rejected
E8231,Sales,Training,6728,Rejected
E8992,Sales,Internet,2185,Pending
E5500,Sales,Travel,15341,Rejected
E5053,IT,Travel,4461,Approved
E4565,IT,Internet,22767,Pending
E6148,Operations,Training,4426,Pending
E5563,Finance,Training,32688,Approved
E3093,Finance,Internet,10560,Approved
E1306,Sales,Internet,24133,Approved
E4241,Finance,Training,8024,Approved
E5717,Sales,Training,39232,Pending
E4460,Finance,Meals,48774,Rejected
E5791,IT,Travel,24701,Pending
E1615,Operations,Travel,11557,Approved
E2769,Operations,Meals,14872,Rejected
E4599,Finance,Travel,28728,Approved
E7319,HR,Meals,2265,Approved
E8135,Operations,Travel,9845,Approved
E6312,Sales,Internet,10154,Approved
E4034,Sales,Training,27067,Approved
E3911,Finance,Travel,49213,Rejected
E9546,HR,Internet,23149,Pending
E7267,Operations,Internet,34744,Approved
E9256,IT,Training,11693,Rejected
E5692,Operations,Meals,25234,Approved
E1829,Sales,Internet,27710,Rejected
E7621,Sales,Meals,20275,Rejected
E8463,Sales,Travel,22805,Approved
E1743,Operations,Meals,27855,Pending
E6881,Operations,Internet,41123,Pending
E1784,Sales,Meals,30329,Approved
E8244,Finance,Training,19262,Rejected
E9731,Operations,Travel,44862,Pending
E3157,Operations,Internet,39516,Pending
E4367,IT,Travel,49637,Pending
E1431,Finance,Meals,7757,Pending
E2126,Operations,Internet,29757,Pending
E8983,Finance,Meals,2038,Pending
