Vendor_ID,Bill_No,Bill_Amount,Outstanding,Due_Days
VEND2927,BILL0000071,107745,66022,173
VEND4133,BILL0000072,36579,34014,79
VEND8770,BILL0000073,138009,28542,48
VEND6294,BILL0000074,229533,13908,11
VEND2901,BILL0000075,173441,38673,19
VEND9656,BILL0000076,16280,15201,95
VEND2999,BILL0000077,14839,4906,140
VEND1575,BILL0000078,53802,14930,170
VEND6342,BILL0000079,112495,44369,113
VEND9350,BILL0000080,25952,18779,10
VEND9949,BILL0000081,146377,133980,11
VEND1338,BILL0000082,245343,228740,138
VEND6514,BILL0000083,203517,110406,7
VEND1942,BILL0000084,50832,339,24
VEND3884,BILL0000085,202172,84094,143
VEND3844,BILL0000086,166492,160606,145
VEND1698,BILL0000087,232740,42016,72
VEND7057,BILL0000088,153019,52319,26
VEND9630,BILL0000089,156036,37725,102
VEND6141,BILL0000090,33943,28797,153
VEND6841,BILL0000091,150855,57223,53
VEND8416,BILL0000092,80396,77732,56
VEND6618,BILL0000093,81598,22887,18
VEND8674,BILL0000094,34283,23661,56
VEND8488,BILL0000095,145209,85443,98
VEND1139,BILL0000096,242981,149182,173
VEND2125,BILL0000097,157439,77093,141
VEND5798,BILL0000098,203668,53382,44
VEND7675,BILL0000099,58325,8201,43
VEND2349,BILL0000100,25230,2086,68
VEND6771,BILL0000101,28188,17545,25
VEND2105,BILL0000102,67371,40245,180
VEND4247,BILL0000103,34655,10567,119
VEND3221,BILL0000104,77024,20662,120
VEND6438,BILL0000105,3446,1244,8
VEND8893,BILL0000106,28712,13514,26
VEND7151,BILL0000107,68614,7458,106
VEND9586,BILL0000108,11678,8056,159
VEND4571,BILL0000109,249604,156334,106
VEND3457,BILL0000110,28718,13197,18
VEND5779,BILL0000111,173035,30812,12
VEND1103,BILL0000112,43557,8618,31
VEND7339,BILL0000113,140810,56671,5
VEND1004,BILL0000114,97123,37809,65
VEND7798,BILL0000115,37150,32433,32
VEND5501,BILL0000116,110960,105899,121
VEND7842,BILL0000117,118148,105446,63
VEND1822,BILL0000118,223695,202523,141
VEND5712,BILL0000119,217954,89380,163
VEND8599,BILL0000120,217854,151697,8
VEND6726,BILL0000121,150817,7302,74
VEND8222,BILL0000122,34077,22474,131
VEND7103,BILL0000123,33144,8876,98
VEND8661,BILL0000124,11647,4767,36
VEND6147,BILL0000125,221064,152452,29
VEND8122,BILL0000126,190228,43215,151
VEND1416,BILL0000127,182979,116899,155
VEND5077,BILL0000128,2634,87,151
VEND1120,BILL0000129,184850,22940,27
VEND5120,BILL0000130,142062,50389,141
VEND4342,BILL0000131,87087,364,0
VEND6464,BILL0000132,208772,13126,150
VEND2879,BILL0000133,43783,21007,57
VEND1711,BILL0000134,181283,91551,84
VEND1712,BILL0000135,68589,31936,72
VEND7061,BILL0000136,112602,79792,62
VEND2653,BILL0000137,143415,55731,92
VEND6836,BILL0000138,166038,118944,39
VEND3582,BILL0000139,32529,26315,24
VEND4134,BILL0000140,237579,177208,60
VEND6671,BILL0000141,134630,79205,31
VEND3404,BILL0000142,148320,79502,98
VEND8946,BILL0000143,238436,45249,153
VEND9966,BILL0000144,148724,42396,22
VEND1698,BILL0000145,140936,3788,41
VEND9036,BILL0000146,21680,8118,37
VEND9362,BILL0000147,138052,58996,115
VEND3117,BILL0000148,91728,75604,45
VEND8431,BILL0000149,40133,22453,161
VEND9699,BILL0000150,244090,180063,124
VEND1583,BILL0000151,37010,7249,70
VEND1480,BILL0000152,120479,113221,171
VEND7026,BILL0000153,133430,48486,10
VEND6005,BILL0000154,23651,10158,13
VEND9587,BILL0000155,176164,61233,112
VEND9231,BILL0000156,18492,10980,79
VEND5188,BILL0000157,152576,21619,60
VEND3277,BILL0000158,165543,64595,124
VEND1446,BILL0000159,41959,40354,129
VEND6277,BILL0000160,2246,2,103
VEND7560,BILL0000161,165604,146944,69
VEND4893,BILL0000162,6792,4075,22
VEND7754,BILL0000163,88912,45660,127
VEND1511,BILL0000164,106001,101051,68
VEND6944,BILL0000165,202049,187670,25
VEND8377,BILL0000166,54701,27684,160
VEND3508,BILL0000167,73395,7446,24
VEND7073,BILL0000168,178154,95027,69
VEND1727,BILL0000169,124480,110867,20
VEND4838,BILL0000170,56743,5625,44
VEND9275,BILL0000171,226063,169732,29
VEND3164,BILL0000172,228317,189144,163
VEND6392,BILL0000173,173253,165821,167
VEND6814,BILL0000174,75894,37604,27
VEND4534,BILL0000175,103284,99932,111
VEND4120,BILL0000176,141056,62760,153
VEND3988,BILL0000177,96902,62112,153
VEND9992,BILL0000178,116759,27069,147
VEND7014,BILL0000179,181873,106426,13
VEND5636,BILL0000180,220546,133870,58
VEND4559,BILL0000181,215005,151584,170
VEND5609,BILL0000182,163810,76513,0
VEND2598,BILL0000183,184036,68569,70
VEND8141,BILL0000184,16024,8353,73
VEND4838,BILL0000185,233630,85274,20
VEND4594,BILL0000186,120210,28878,46
VEND7533,BILL0000187,152273,96145,39
VEND8101,BILL0000188,134708,94255,73
VEND7889,BILL0000189,60508,32358,145
VEND2346,BILL0000190,28494,17529,117
VEND1643,BILL0000191,30258,1259,75
VEND6725,BILL0000192,26566,25863,6
VEND2217,BILL0000193,56265,13546,41
VEND5675,BILL0000194,102960,57251,179
VEND7019,BILL0000195,46955,10955,104
VEND9562,BILL0000196,240256,34624,96
VEND7987,BILL0000197,158618,132476,87
VEND4187,BILL0000198,137025,27787,151
VEND3762,BILL0000199,199408,68663,46
VEND1741,BILL0000200,58431,12925,15
VEND7455,BILL0000201,154299,66392,19
VEND1289,BILL0000202,146778,52849,100
VEND5796,BILL0000203,63101,46921,121
VEND6957,BILL0000204,41455,38648,36
VEND9745,BILL0000205,153341,96556,150
VEND3241,BILL0000206,184476,97785,42
VEND2541,BILL0000207,99374,44390,14
VEND7137,BILL0000208,62139,10226,96
VEND4167,BILL0000209,102420,33938,121
VEND2588,BILL0000210,26069,22436,70
VEND6899,BILL0000211,55954,43023,159
VEND4653,BILL0000212,41134,10255,118
VEND7760,BILL0000213,178937,178200,146
VEND6364,BILL0000214,195556,109393,29
VEND5465,BILL0000215,204128,196874,170
VEND5450,BILL0000216,246691,193967,123
VEND7712,BILL0000217,84192,35626,90
VEND3342,BILL0000218,133410,46737,47
VEND9271,BILL0000219,24077,895,57
VEND7474,BILL0000220,210660,78304,44
VEND6458,BILL0000221,185307,106743,41
VEND9074,BILL0000222,130411,117139,23
VEND8768,BILL0000223,44064,39521,99
VEND8746,BILL0000224,48954,7274,60
VEND8901,BILL0000225,16967,9185,114
VEND7015,BILL0000226,50465,22369,123
VEND5771,BILL0000227,144486,138749,110
VEND6168,BILL0000228,238975,40844,173
VEND2759,BILL0000229,38756,27729,93
VEND2300,BILL0000230,26544,24513,34
VEND6997,BILL0000231,103864,30330,87
VEND6224,BILL0000232,98983,19793,99
VEND8029,BILL0000233,4473,547,62
VEND3327,BILL0000234,21013,5278,6
VEND1631,BILL0000235,220026,213016,57
VEND7350,BILL0000236,70143,67424,137
VEND4982,BILL0000237,228864,110557,72
VEND6894,BILL0000238,184603,58719,148
VEND7764,BILL0000239,61190,41266,143
VEND8105,BILL0000240,135061,87275,115
VEND5854,BILL0000241,147294,38414,44
VEND9659,BILL0000242,204253,174804,150
VEND9180,BILL0000243,67840,48649,85
VEND6632,BILL0000244,144352,134601,10
VEND8581,BILL0000245,107390,77591,168
VEND3866,BILL0000246,41735,3319,23
VEND5933,BILL0000247,50847,41852,129
VEND6231,BILL0000248,125446,74292,24
VEND1097,BILL0000249,170666,3113,65
VEND4732,BILL0000250,189750,109285,36
VEND2683,BILL0000251,231309,12998,34
VEND5393,BILL0000252,232177,67,51
VEND2149,BILL0000253,179740,44418,180
VEND3394,BILL0000254,10295,8618,22
VEND7547,BILL0000255,83796,81764,7
VEND2462,BILL0000256,173877,95193,63
VEND9842,BILL0000257,185244,116657,176
VEND7418,BILL0000258,85443,83607,64
VEND6763,BILL0000259,129743,2604,154
VEND7974,BILL0000260,106567,103920,127
VEND1851,BILL0000261,8429,6910,130
VEND9080,BILL0000262,207065,40018,35
VEND6845,BILL0000263,168695,149913,25
VEND1370,BILL0000264,13791,4679,102
VEND5875,BILL0000265,182190,12325,90
VEND2785,BILL0000266,94022,76182,169
VEND4958,BILL0000267,120551,54005,137
VEND7332,BILL0000268,115521,6361,128
VEND9735,BILL0000269,127483,33937,48
VEND3708,BILL0000270,226514,77850,0
VEND3093,BILL0000271,4233,889,34
VEND7903,BILL0000272,129967,122354,33
VEND4113,BILL0000273,240151,192121,52
VEND8768,BILL0000274,202676,186674,107
VEND5378,BILL0000275,83601,60519,174
VEND3188,BILL0000276,45402,2223,21
VEND7484,BILL0000277,246279,143374,164
VEND5812,BILL0000278,81370,57294,167
VEND6861,BILL0000279,108083,73049,101
VEND1088,BILL0000280,233724,186752,7
VEND3362,BILL0000281,162696,140432,96
VEND2458,BILL0000282,231543,72613,76
VEND7785,BILL0000283,235601,38975,64
VEND2580,BILL0000284,146124,143576,96
VEND5017,BILL0000285,137337,12182,146
VEND3817,BILL0000286,106528,51691,110
VEND3246,BILL0000287,46148,12187,152
VEND3525,BILL0000288,97083,81049,137
VEND8208,BILL0000289,23924,15771,127
VEND2976,BILL0000290,55511,23837,81
VEND6342,BILL0000291,92085,44851,14
VEND6976,BILL0000292,69908,62767,116
VEND5634,BILL0000293,49684,49257,31
VEND7218,BILL0000294,247770,42356,112
VEND3935,BILL0000295,245801,219727,97
VEND9594,BILL0000296,90580,5903,138
VEND2194,BILL0000297,91157,23089,96
VEND6562,BILL0000298,225976,175137,106
VEND4554,BILL0000299,223502,10622,14
VEND8400,BILL0000300,224520,56448,135
VEND1525,BILL0000301,216905,209055,137
VEND5908,BILL0000302,28743,28229,156
VEND2710,BILL0000303,120853,79740,61
VEND7971,BILL0000304,204873,31642,58
VEND7418,BILL0000305,94169,66426,84
VEND6704,BILL0000306,101810,38228,1
VEND4089,BILL0000307,126845,36929,133
VEND4013,BILL0000308,174265,166214,48
VEND4728,BILL0000309,239518,121516,139
VEND6030,BILL0000310,204374,13661,13
VEND9187,BILL0000311,57938,22667,174
VEND6651,BILL0000312,171931,116776,163
VEND1969,BILL0000313,73480,17394,165
VEND1925,BILL0000314,140607,121797,107
VEND1246,BILL0000315,65939,26883,148
VEND1204,BILL0000316,59924,33866,63
VEND1470,BILL0000317,220423,119224,137
VEND6869,BILL0000318,74237,4668,109
VEND1392,BILL0000319,28702,24859,64
VEND3802,BILL0000320,16907,8657,153
VEND3549,BILL0000321,30130,13667,32
VEND7954,BILL0000322,246912,75350,129
VEND5196,BILL0000323,45330,19768,30
VEND2093,BILL0000324,189751,47829,160
VEND6561,BILL0000325,96071,18665,78
VEND1755,BILL0000326,183295,142495,105
VEND8617,BILL0000327,208957,69841,131
VEND8828,BILL0000328,103338,58010,46
VEND2333,BILL0000329,154749,38993,154
VEND4590,BILL0000330,49655,19456,121
VEND7012,BILL0000331,117444,58047,113
VEND4951,BILL0000332,164904,120783,154
VEND7640,BILL0000333,210781,33058,166
VEND8615,BILL0000334,189770,118766,67
VEND2965,BILL0000335,229930,161027,87
VEND8930,BILL0000336,184056,156916,97
VEND9273,BILL0000337,126626,78968,66
VEND8719,BILL0000338,32776,11472,50
VEND1435,BILL0000339,23449,38,114
VEND5629,BILL0000340,92363,36379,118
VEND9015,BILL0000341,92877,37207,58
VEND2641,BILL0000342,67535,50544,167
VEND8103,BILL0000343,248176,184231,43
VEND2100,BILL0000344,181491,176146,15
VEND5921,BILL0000345,12767,6717,132
VEND9809,BILL0000346,206220,70686,112
VEND9230,BILL0000347,157692,140675,180
VEND6354,BILL0000348,232658,166752,155
VEND5281,BILL0000349,91452,33792,54
VEND6918,BILL0000350,210276,159606,83
VEND2774,BILL0000351,115606,79803,133
VEND7862,BILL0000352,173938,170841,116
VEND8444,BILL0000353,127586,8228,7
VEND4390,BILL0000354,137026,25052,70
VEND6649,BILL0000355,162809,61744,37
VEND4596,BILL0000356,117315,113923,141
VEND2536,BILL0000357,10493,8283,84
VEND7379,BILL0000358,220283,13988,142
VEND9854,BILL0000359,120263,89915,16
VEND1162,BILL0000360,192218,181116,6
VEND3450,BILL0000361,84378,28634,17
VEND5573,BILL0000362,69412,66229,68
VEND5414,BILL0000363,33347,16874,175
VEND5019,BILL0000364,44169,32809,78
VEND6832,BILL0000365,50805,4575,169
VEND3460,BILL0000366,28396,369,85
VEND2608,BILL0000367,91771,30895,128
VEND1209,BILL0000368,98216,49081,126
VEND9046,BILL0000369,12140,10994,32
VEND5580,BILL0000370,210834,36539,95
VEND6460,BILL0000371,152576,102038,111
VEND5229,BILL0000372,98635,35107,47
VEND9695,BILL0000373,189525,55628,151
VEND4802,BILL0000374,168003,86014,176
VEND5562,BILL0000375,203867,45607,38
VEND7012,BILL0000376,56767,14162,63
VEND2221,BILL0000377,239263,205513,106
VEND6644,BILL0000378,156040,106841,19
VEND5772,BILL0000379,184217,96936,166
VEND3509,BILL0000380,191775,71511,118
VEND3092,BILL0000381,192562,7264,69
VEND2807,BILL0000382,238275,222236,13
VEND3775,BILL0000383,231868,135152,125
VEND2939,BILL0000384,122911,73882,84
VEND8747,BILL0000385,79177,2094,37
VEND4622,BILL0000386,233035,89465,140
VEND5810,BILL0000387,64963,33256,10
VEND3183,BILL0000388,112972,60749,115
VEND3216,BILL0000389,165097,140939,79
VEND5102,BILL0000390,67819,6863,162
VEND2744,BILL0000391,189363,85626,120
VEND9169,BILL0000392,228360,21055,35
VEND4594,BILL0000393,181164,134645,82
VEND4001,BILL0000394,150349,130406,160
VEND6297,BILL0000395,56939,24197,51
VEND6545,BILL0000396,118098,92737,55
VEND2312,BILL0000397,108357,69845,84
VEND8423,BILL0000398,107901,49380,82
VEND5181,BILL0000399,87740,35454,24
VEND2674,BILL0000400,41423,7463,176
VEND2045,BILL0000401,76402,16506,1
VEND2061,BILL0000402,64673,20660,168
VEND2305,BILL0000403,228386,53197,165
VEND4661,BILL0000404,154178,85858,164
VEND7960,BILL0000405,19276,919,75
VEND3809,BILL0000406,84744,37065,49
VEND5020,BILL0000407,28343,12073,172
VEND2313,BILL0000408,113487,56053,117
VEND9518,BILL0000409,175901,171015,120
VEND2334,BILL0000410,234897,162560,47
VEND2123,BILL0000411,226773,80223,43
VEND5964,BILL0000412,42085,34779,164
VEND4406,BILL0000413,42708,8227,36
VEND5902,BILL0000414,47291,10771,105
VEND6691,BILL0000415,89534,85340,24
VEND2688,BILL0000416,195454,76623,101
VEND9614,BILL0000417,84328,73453,9
VEND8767,BILL0000418,27276,11895,28
VEND3689,BILL0000419,132112,61568,134
VEND2301,BILL0000420,185448,19395,13
VEND9084,BILL0000421,25940,2148,4
VEND9293,BILL0000422,82405,68403,165
VEND3848,BILL0000423,60399,5471,96
VEND9871,BILL0000424,177386,74532,39
VEND1751,BILL0000425,71848,71264,56
VEND2482,BILL0000426,35759,30378,56
VEND2566,BILL0000427,235085,167577,99
VEND3926,BILL0000428,125838,90280,135
VEND5494,BILL0000429,183919,149884,178
VEND5872,BILL0000430,9145,1160,49
VEND2015,BILL0000431,218893,203672,142
VEND5295,BILL0000432,97940,18092,104
VEND9481,BILL0000433,56948,46550,74
VEND7737,BILL0000434,85728,54499,150
VEND3895,BILL0000435,176624,12438,45
VEND7853,BILL0000436,131634,60166,152
VEND9345,BILL0000437,4888,3692,34
VEND7109,BILL0000438,178874,164485,121
VEND6253,BILL0000439,103687,45952,149
VEND2103,BILL0000440,189120,171916,117
VEND7514,BILL0000441,157001,4371,97
VEND6410,BILL0000442,17196,8439,125
VEND9856,BILL0000443,184491,90746,155
VEND9127,BILL0000444,221381,203346,141
VEND6268,BILL0000445,164290,128655,106
VEND9956,BILL0000446,191084,155819,81
VEND8933,BILL0000447,75478,65760,72
VEND6444,BILL0000448,231247,6971,93
VEND8826,BILL0000449,87678,5296,115
VEND9423,BILL0000450,27665,24797,9
VEND6996,BILL0000451,230807,147213,143
VEND7360,BILL0000452,178172,93749,123
VEND7533,BILL0000453,80408,78814,79
VEND2543,BILL0000454,207222,334,90
VEND2472,BILL0000455,74575,32668,115
VEND9103,BILL0000456,79178,4327,44
VEND3365,BILL0000457,176739,113600,91
VEND5338,BILL0000458,131814,120305,163
VEND4378,BILL0000459,114987,113275,127
VEND7669,BILL0000460,126512,15090,53
VEND6231,BILL0000461,40479,10368,143
VEND8052,BILL0000462,116269,106654,86
VEND3219,BILL0000463,245601,128617,135
VEND9795,BILL0000464,193331,154915,165
VEND2740,BILL0000465,38573,21220,129
VEND7491,BILL0000466,192155,179750,163
VEND2948,BILL0000467,160101,133622,125
VEND5254,BILL0000468,84805,78195,67
VEND2053,BILL0000469,212732,42296,147
VEND9362,BILL0000470,154690,100874,64
VEND7495,BILL0000471,33701,2489,102
VEND4606,BILL0000472,193535,72132,6
VEND1080,BILL0000473,182236,42091,15
VEND2470,BILL0000474,158148,140885,167
VEND1864,BILL0000475,40041,37260,131
VEND8760,BILL0000476,224943,24928,30
VEND1663,BILL0000477,127437,114304,153
VEND9764,BILL0000478,159110,118884,53
VEND3563,BILL0000479,85169,28574,59
VEND4965,BILL0000480,164979,84037,54
VEND8440,BILL0000481,144551,102816,122
VEND5193,BILL0000482,229783,221133,55
VEND9078,BILL0000483,231392,64400,9
VEND1847,BILL0000484,126868,6726,180
VEND5127,BILL0000485,47815,1582,57
VEND7656,BILL0000486,223781,124513,122
VEND2371,BILL0000487,177587,159980,127
VEND3702,BILL0000488,173235,33385,29
VEND7177,BILL0000489,203899,18952,128
VEND8270,BILL0000490,234493,100928,23
VEND9562,BILL0000491,121590,53540,118
VEND9270,BILL0000492,216121,77077,13
VEND3202,BILL0000493,218106,43187,150
VEND4714,BILL0000494,34416,5931,130
VEND1255,BILL0000495,248776,10708,9
VEND1964,BILL0000496,82095,23197,4
VEND3115,BILL0000497,231192,216786,119
VEND1927,BILL0000498,108889,8166,7
VEND4531,BILL0000499,62737,31558,44
VEND2904,BILL0000500,4486,2266,164
VEND8633,BILL0000501,56314,2842,54
VEND5383,BILL0000502,207439,89825,139
VEND1658,BILL0000503,18769,496,40
VEND3236,BILL0000504,172871,68195,14
VEND3484,BILL0000505,144065,101999,74
VEND3770,BILL0000506,12436,4076,86
VEND5605,BILL0000507,146007,53461,50
VEND1210,BILL0000508,180938,17439,32
VEND7412,BILL0000509,68279,53807,114
VEND7044,BILL0000510,25509,12064,26
VEND5605,BILL0000511,21782,6182,8
VEND2997,BILL0000512,142841,80521,6
VEND4847,BILL0000513,213101,10379,123
VEND8431,BILL0000514,60333,4727,83
VEND7274,BILL0000515,203103,89214,127
VEND6271,BILL0000516,59103,49100,164
VEND5802,BILL0000517,240892,194548,160
VEND9464,BILL0000518,248829,229820,161
VEND8177,BILL0000519,147020,16157,139
VEND3279,BILL0000520,56162,50847,6
VEND1943,BILL0000521,217400,39060,139
VEND2093,BILL0000522,244220,186286,19
VEND4983,BILL0000523,236204,180589,8
VEND7889,BILL0000524,227420,133122,108
VEND3156,BILL0000525,103740,101825,170
VEND2765,BILL0000526,145320,131768,162
VEND1757,BILL0000527,16829,10679,36
VEND6972,BILL0000528,214487,108359,49
VEND3955,BILL0000529,182714,26633,69
VEND7454,BILL0000530,145079,21811,97
VEND3528,BILL0000531,227567,27985,28
VEND5011,BILL0000532,6291,1143,85
VEND3264,BILL0000533,33229,15100,136
VEND7805,BILL0000534,176579,66538,107
VEND6200,BILL0000535,249602,34983,160
VEND9522,BILL0000536,148859,115437,50
VEND2792,BILL0000537,203324,82820,32
VEND3418,BILL0000538,77111,16917,42
VEND8867,BILL0000539,165820,70885,29
VEND1803,BILL0000540,148528,99228,118
VEND1571,BILL0000541,157884,51789,120
VEND3564,BILL0000542,98923,41883,5
VEND4547,BILL0000543,67419,43060,83
VEND1537,BILL0000544,117264,97582,99
VEND5491,BILL0000545,163398,52072,47
VEND6981,BILL0000546,93127,69991,175
VEND2658,BILL0000547,163674,39442,44
VEND7800,BILL0000548,62575,39474,71
VEND5646,BILL0000549,99350,29948,104
VEND4459,BILL0000550,182753,39737,67
VEND9858,BILL0000551,31702,23688,75
VEND2395,BILL0000552,19116,11037,39
VEND9871,BILL0000553,227688,169437,153
VEND3506,BILL0000554,16861,11294,45
VEND9079,BILL0000555,96711,39434,2
VEND7848,BILL0000556,61328,21129,89
VEND1575,BILL0000557,137803,128462,87
VEND4827,BILL0000558,174670,168592,62
VEND7787,BILL0000559,64775,47648,50
VEND2182,BILL0000560,212053,38988,99
VEND4432,BILL0000561,46546,13822,146
VEND2253,BILL0000562,163521,160987,94
VEND2785,BILL0000563,190400,181597,51
VEND1048,BILL0000564,104613,23444,63
VEND4844,BILL0000565,156447,147981,93
VEND6296,BILL0000566,175515,118609,7
VEND3630,BILL0000567,68305,48882,58
VEND5938,BILL0000568,76551,27859,92
VEND8446,BILL0000569,79002,18256,158
VEND4199,BILL0000570,24425,22894,52
VEND6657,BILL0000571,128792,57116,22
VEND8076,BILL0000572,226950,199670,143
VEND2053,BILL0000573,98354,84552,92
VEND2098,BILL0000574,215143,168781,152
VEND6199,BILL0000575,18740,11949,39
VEND1120,BILL0000576,175126,100992,151
VEND9884,BILL0000577,13572,627,1
VEND9755,BILL0000578,81129,42271,154
VEND3610,BILL0000579,207153,64877,132
VEND6060,BILL0000580,186101,146839,68
VEND5861,BILL0000581,181243,6593,64
VEND2081,BILL0000582,144714,65218,62
VEND9453,BILL0000583,67787,23221,85
VEND8817,BILL0000584,158722,7228,122
VEND8017,BILL0000585,109888,5680,142
VEND1140,BILL0000586,102287,31941,124
VEND8351,BILL0000587,84006,12857,105
VEND5497,BILL0000588,200019,194440,63
VEND3056,BILL0000589,17381,805,92
VEND3495,BILL0000590,65484,28353,166
VEND7267,BILL0000591,225908,126911,63
VEND4990,BILL0000592,125196,29996,24
VEND8107,BILL0000593,15138,13560,67
VEND6768,BILL0000594,9085,933,170
VEND8369,BILL0000595,24554,14113,48
VEND6015,BILL0000596,193484,117139,138
VEND9568,BILL0000597,111071,103593,94
VEND3094,BILL0000598,92779,55775,21
VEND9825,BILL0000599,26817,20739,26
VEND7273,BILL0000600,138641,92568,106
VEND1591,BILL0000601,19663,7491,53
VEND1023,BILL0000602,95703,83838,132
VEND7665,BILL0000603,7351,3062,54
VEND6482,BILL0000604,190286,180763,173
VEND9217,BILL0000605,111585,104047,90
VEND4669,BILL0000606,205665,82290,79
VEND8320,BILL0000607,37529,30304,30
VEND4112,BILL0000608,182425,118518,16
VEND5017,BILL0000609,87396,32041,132
VEND6131,BILL0000610,42156,40185,160
VEND4299,BILL0000611,135534,120873,132
VEND8805,BILL0000612,210098,155503,163
VEND7845,BILL0000613,204708,159962,112
VEND6387,BILL0000614,138528,56499,7
VEND9401,BILL0000615,172616,44295,4
VEND5163,BILL0000616,20659,2565,34
VEND7104,BILL0000617,153789,69765,6
VEND9467,BILL0000618,113525,79401,137
VEND8176,BILL0000619,217068,29544,164
VEND4775,BILL0000620,218125,91099,6
VEND5589,BILL0000621,249380,88834,174
VEND3419,BILL0000622,143148,122897,40
VEND3601,BILL0000623,70831,20309,19
VEND3645,BILL0000624,161007,38314,111
VEND8932,BILL0000625,25664,3289,176
VEND9464,BILL0000626,95811,73424,131
VEND9111,BILL0000627,173037,98940,119
VEND4785,BILL0000628,181210,28256,163
VEND9923,BILL0000629,186271,127364,108
VEND3766,BILL0000630,52029,26126,114
VEND1202,BILL0000631,89798,58218,176
VEND8924,BILL0000632,66382,13770,132
VEND3018,BILL0000633,187549,17281,7
VEND5966,BILL0000634,104294,40070,168
VEND7342,BILL0000635,23880,15713,132
VEND1369,BILL0000636,238014,210632,129
VEND8990,BILL0000637,25431,6224,47
VEND6487,BILL0000638,196733,77799,10
VEND4095,BILL0000639,163366,70203,149
VEND1801,BILL0000640,113572,20805,49
VEND9227,BILL0000641,219356,31259,21
VEND7261,BILL0000642,124770,8722,20
VEND5141,BILL0000643,206008,139283,113
VEND5393,BILL0000644,216710,105344,122
VEND7184,BILL0000645,86001,43508,49
VEND9000,BILL0000646,216337,37720,173
VEND4839,BILL0000647,53980,37093,56
VEND9031,BILL0000648,225467,58780,8
VEND4925,BILL0000649,50064,8551,0
VEND9704,BILL0000650,111614,26334,137
VEND2643,BILL0000651,61811,9018,166
VEND7157,BILL0000652,101279,23524,0
VEND2972,BILL0000653,105558,27291,126
VEND9532,BILL0000654,39900,16800,49
VEND9945,BILL0000655,15872,5374,2
VEND7820,BILL0000656,125515,49292,119
VEND5971,BILL0000657,13290,6197,177
VEND3801,BILL0000658,95560,24453,130
VEND6341,BILL0000659,219362,171979,115
VEND3608,BILL0000660,119591,101321,35
VEND1177,BILL0000661,154102,133554,147
VEND9895,BILL0000662,153882,118278,123
VEND7184,BILL0000663,155096,3093,46
VEND2752,BILL0000664,124932,62540,76
